,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
3083,Brothers In Arms: Road to Hill 30,XB,2005.0,Shooter,Ubisoft,0.29,0.14,0.0,0.02,0.57,73.0,26.168198060234815,7.7,69.0,Gearbox Software,M
3085,Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.06,0.0,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3086,Animaniacs Ten Pin Alley,PS,1998.0,Sports,ASC Games,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3087,LEGO Jurassic World,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.29,0.14,0.0,0.04,0.57,70.0,22.0,7.116133442712647,44.0,TT Games,E10+
3088,Kung Fu Panda,PS2,2008.0,Action,Activision,0.24,0.0,0.0,0.04,0.57,73.0,22.0,7.7,29.0,Xpec,E10+
3089,Freedom Wars,PSV,2014.0,Role-Playing,Sony Computer Entertainment,0.15,0.1,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,"Dimps Corporation, SCE Japan Studio",T
3090,Rocksmith 2014,PC,2013.0,Misc,Ubisoft,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3091,Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,2010.0,Adventure,Disney Interactive Studios,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3092,Ratchet & Clank: Into the Nexus,PS3,2013.0,Shooter,Sony Computer Entertainment,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3093,Shaun White Snowboarding,PS3,2008.0,Sports,Ubisoft,0.29,0.14,0.01,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,29.0,Ubisoft Montreal,T
3094,Radiata Stories,PS2,2005.0,Role-Playing,Square Enix,0.18,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,54.0,Tri-Ace,T
3095,The Biggest Loser: Challenge,Wii,2010.0,Sports,THQ,0.29,0.12,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Blitz Games Studios,E
3096,Peppa Pig: Fun and Games,DS,2010.0,Misc,Ubisoft,0.0,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3097,F-Zero GX,GC,2003.0,Racing,Nintendo,0.29,0.11,0.06,0.02,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Amusement Vision,T
3098,Disney's Chicken Little,PS2,2005.0,Platform,Disney Interactive Studios,0.29,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.7,29.0,Avalanche Software,E10+
3099,Scene It? Box Office Smash,X360,2008.0,Misc,Microsoft Game Studios,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.4,29.0,"Krome Studios, Screenlife Games",T
3100,Yoshi Topsy-Turvy,GBA,2004.0,Platform,Nintendo,0.25,0.09,0.06,0.01,0.57,68.81214905564063,23.0,7.116133442712647,29.0,Artoon,E
3101,Monster Jam: Maximum Destruction,PS2,2002.0,Racing,Ubisoft,0.29,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.116133442712647,29.0,Ubisoft,T
3102,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,2005.0,Misc,THQ,0.29,0.14,0.0,0.01,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3103,Tiger Woods PGA Tour 09,PS3,2008.0,Sports,Electronic Arts,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.2,29.0,EA Tiburon,E
3104,World of Dragon Warrior - Torneko: The Last Hope,PS,1999.0,Role-Playing,Enix Corporation,0.02,0.01,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3105,Mortal Kombat,PSV,2012.0,Fighting,Warner Bros. Interactive Entertainment,0.29,0.13,0.0,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,NetherRealm Studios,M
3106,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2007.0,Action,Activision,0.23,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3107,Tiger Woods PGA Tour 09,X360,2008.0,Sports,Electronic Arts,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.7,29.0,EA Tiburon,E
3108,Advance Wars 2: Black Hole Rising,GBA,2003.0,Strategy,Nintendo,0.29,0.14,0.0,0.01,0.57,73.0,26.168198060234815,7.7,97.0,Intelligent Systems,E
3109,Wario: Master of Disguise,DS,2007.0,Platform,Nintendo,0.28,0.02,0.06,0.03,0.57,68.81214905564063,26.168198060234815,7.4,29.0,Suzak,E10+
3110,Centipede,PS,1998.0,Shooter,Atari,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3111,The Last Story,Wii,2011.0,Role-Playing,Nintendo,0.29,0.13,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,"Mistwalker, Artoon",T
3112,Drakengard,PS2,2003.0,Role-Playing,Square Enix,0.19,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.7,88.0,Cavia Inc.,M
3113,SingStar Pop Hits,PS2,2007.0,Misc,Sony Computer Entertainment,0.0,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3114,Kung-Fu Master,2600,1987.0,Action,Activision,0.29,0.04,0.0,0.01,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3115,Champions: Return to Arms,PS2,2005.0,Role-Playing,Sony Online Entertainment,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.7,43.0,Snowblind Studios,T
3116,Harry Potter and the Goblet of Fire,PS2,2005.0,Action,Electronic Arts,0.29,0.02,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,48.0,Electronic Arts,E10+
3117,Toy Story 3: The Video Game,PSP,2010.0,Action,Disney Interactive Studios,0.27,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3118,SingStar R&B,PS2,2007.0,Misc,Sony Computer Entertainment,0.0,0.05,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3119,Mary-Kate and Ashley: Magical Mystery Mall,PS,2000.0,Adventure,Acclaim Entertainment,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3120,MX vs. ATV Untamed,PSP,2007.0,Racing,THQ,0.29,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.116133442712647,156.67227235438884,Rainbow Studios,E
3121,Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014.0,Action,Disney Interactive Studios,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3122,Tiger Woods PGA Tour 10,X360,2009.0,Sports,Electronic Arts,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.116133442712647,29.0,EA Tiburon,E
3123,007: Quantum of Solace,Wii,2008.0,Action,Activision,0.29,0.14,0.01,0.04,0.57,68.81214905564063,22.0,7.5,29.0,Treyarch,T
3124,Super Robot Taisen Impact,PS2,2002.0,Strategy,Banpresto,0.0,0.0,0.06,0.0,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3125,Wall-E,PSP,2008.0,Platform,THQ,0.29,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.116133442712647,156.67227235438884,Heavy Iron Studios,E
3126,Farming Simulator 17,PC,2016.0,Simulation,Focus Home Interactive,0.03,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.7,29.0,Giants Software,E
3127,Crafting Mama,DS,2010.0,Simulation,505 Games,0.29,0.14,0.01,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Cooking Mama Limited,E
3128,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.06,0.0,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3129,God of War III,PS4,2015.0,Action,Sony Computer Entertainment,0.24,0.14,0.01,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3130,Borderlands 2,PSV,2014.0,Shooter,Take-Two Interactive,0.29,0.14,0.01,0.04,0.57,68.81214905564063,26.168198060234815,7.6,156.67227235438884,Iron Galaxy Studios,M
3131,Harry Potter and the Half-Blood Prince,PS2,2009.0,Action,Electronic Arts,0.13,0.07,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.7,29.0,EA Bright Light,E10+
3132,Crash Bandicoot Purple: Ripto's Rampage,GBA,2004.0,Platform,Vivendi Games,0.29,0.14,0.0,0.01,0.57,68.81214905564063,23.0,7.116133442712647,29.0,Vicarious Visions,E
3133,Assassin's Creed IV: Black Flag,PC,2013.0,Action,Ubisoft,0.22,0.14,0.0,0.04,0.57,73.0,22.0,7.7,156.67227235438884,Ubisoft,M
3134,Need For Speed: Undercover,Wii,2008.0,Racing,Electronic Arts,0.27,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.116133442712647,29.0,Exient Entertainment,T
3135,Spyro: A Hero's Tail,PS2,2004.0,Platform,Vivendi Games,0.29,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.7,44.0,Eurocom Entertainment Software,E
3136,Crash: Twinsanity,PS2,2004.0,Platform,Vivendi Games,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.7,129.0,Traveller's Tales,E
3137,The LEGO Movie Videogame,WiiU,2014.0,Action,Warner Bros. Interactive Entertainment,0.29,0.14,0.03,0.04,0.57,68.81214905564063,22.0,7.7,29.0,TT Games,E10+
3138,Max Payne 2: The Fall of Max Payne,XB,2003.0,Shooter,Take-Two Interactive,0.29,0.14,0.0,0.02,0.57,73.0,26.168198060234815,7.7,49.0,Remedy Entertainment,M
3139,Metal Gear Solid V: The Phantom Pain,PS3,2015.0,Action,Konami Digital Entertainment,0.22,0.13,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.2,156.67227235438884,"Kojima Productions, Moby Dick Studio",M
3140,Drawn to Life: The Next Chapter,DS,2009.0,Puzzle,THQ,0.29,0.14,0.0,0.04,0.57,72.0,22.0,7.7,29.0,5TH Cell,E
3141,GoldenEye: Rogue Agent,PS2,2004.0,Shooter,Electronic Arts,0.29,0.02,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,32.0,EA LA,T
3142,WWE 2K15,X360,2014.0,Sports,Take-Two Interactive,0.29,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.116133442712647,65.0,Yuke's,T
3143,Paws & Claws: Pet Vet,DS,2007.0,Simulation,THQ,0.29,0.0,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3144,Star Ocean: First Departure,PSP,2007.0,Role-Playing,Square Enix,0.2,0.13,0.06,0.04,0.57,73.0,26.168198060234815,7.4,29.0,TOSE,T
3145,James Bond 007: Everything or Nothing,XB,2004.0,Shooter,Electronic Arts,0.29,0.14,0.0,0.02,0.57,73.0,26.168198060234815,7.4,29.0,EA Redwood Shores,T
3146,X2: Wolverine's Revenge,PS2,2003.0,Platform,Activision,0.29,0.14,0.0,0.04,0.57,68.81214905564063,24.0,7.2,29.0,GenePool,T
3147,NBA Live 06,XB,2005.0,Sports,Electronic Arts,0.29,0.04,0.0,0.03,0.57,73.0,26.168198060234815,7.116133442712647,29.0,EA Canada,E
3148,Tom Clancy's Rainbow Six,N64,1999.0,Shooter,Red Storm Entertainment,0.29,0.14,0.0,0.01,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3149,Castlevania,N64,1999.0,Platform,Konami Digital Entertainment,0.29,0.1,0.04,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3150,Rayman 2: The Great Escape,N64,1999.0,Platform,Ubisoft,0.29,0.14,0.0,0.02,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3152,Rayman 3D,3DS,2011.0,Platform,Ubisoft,0.23,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,48.0,Ubisoft Casablanca,E
3153,Football Manager 2014,PC,2013.0,Sports,Sega,0.0,0.14,0.0,0.03,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Sports Interactive,E
3154,New Play Control! Pikmin,Wii,2008.0,Strategy,Nintendo,0.28,0.12,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3155,TimeSplitters 2,XB,2002.0,Shooter,Eidos Interactive,0.29,0.14,0.0,0.01,0.57,73.0,22.0,7.7,34.0,Free Radical Design,T
3156,Onimusha: Dawn of Dreams,PS2,2006.0,Action,Capcom,0.15,0.12,0.06,0.04,0.57,73.0,26.168198060234815,7.7,62.0,Capcom,M
3157,Sengoku Basara: Samurai Heroes,PS3,2010.0,Action,Capcom,0.17,0.04,0.06,0.02,0.57,68.81214905564063,26.168198060234815,7.7,29.0,Capcom,T
3158,Stuntman: Ignition,X360,2007.0,Racing,THQ,0.25,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.3,31.0,Paradigm Entertainment,T
3159,Real Heroes: Firefighter,Wii,2009.0,Action,Rondomedia,0.29,0.04,0.0,0.04,0.57,68.81214905564063,22.0,7.7,29.0,Epicenter Studios,E10+
3160,Dishonored 2,PS4,2016.0,Action,Bethesda Softworks,0.22,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Arkane Studios,M
3161,Up,DS,2009.0,Action,THQ,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Altron,E
3163,Konami Collector's Series: Arcade Advanced,GBA,2002.0,Misc,Konami Digital Entertainment,0.29,0.14,0.0,0.01,0.57,73.0,22.0,7.116133442712647,156.67227235438884,KCEA,E
3164,The Crew,XOne,2014.0,Racing,Ubisoft,0.25,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.116133442712647,156.67227235438884,"Ubisoft Reflections, Ivory Tower",T
3165,Dragon Ball: Raging Blast 2,X360,2010.0,Fighting,Namco Bandai Games,0.29,0.09,0.01,0.04,0.57,68.81214905564063,26.168198060234815,7.4,30.0,Spike,T
3166,Jampack Volume 13 (RP-T),PS2,2005.0,Misc,Sony Computer Entertainment,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3167,Madden NFL 2001,N64,2000.0,Sports,Electronic Arts,0.29,0.03,0.0,0.01,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3168,Cruis'n World,N64,1998.0,Racing,Nintendo,0.29,0.04,0.0,0.01,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3169,NHL 13,PS3,2012.0,Sports,Electronic Arts,0.29,0.14,0.0,0.04,0.57,73.0,22.0,7.116133442712647,60.0,Electronic Arts,E10+
3170,Dead or Alive 5,PS3,2012.0,Fighting,Tecmo Koei,0.23,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,109.0,Team Ninja,M
3171,Evolve,XOne,2015.0,Shooter,Take-Two Interactive,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Turtle Rock Studios,M
3172,Lemony Snicket's A Series of Unfortunate Events,PS2,2004.0,Platform,Activision,0.29,0.14,0.0,0.04,0.57,68.81214905564063,25.0,7.116133442712647,29.0,Adrenium,E
3173,Lost Planet: Extreme Condition,PS3,2008.0,Shooter,Capcom,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,36.0,Capcom,T
3174,X-Men Legends II: Rise of Apocalypse,PS2,2005.0,Role-Playing,Activision,0.29,0.02,0.0,0.04,0.57,73.0,26.168198060234815,7.3,41.0,Raven Software,T
3175,Nightmare Creatures,PS,1997.0,Action,Sony Computer Entertainment,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3176,LittleBigPlanet 3,PS3,2014.0,Platform,Sony Computer Entertainment,0.2,0.14,0.01,0.04,0.57,68.81214905564063,26.168198060234815,7.2,64.0,Sumo Digital,E
3177,SingStar Queen,PS2,2009.0,Misc,Sony Computer Entertainment,0.08,0.12,0.0,0.04,0.57,73.0,22.0,7.116133442712647,156.67227235438884,SCEE London Studio,T
3178,LEGO Star Wars II: The Original Trilogy,X360,2006.0,Action,LucasArts,0.29,0.03,0.0,0.04,0.57,73.0,26.168198060234815,7.7,45.0,Traveller's Tales,E10+
3179,Disney Sing It: Party Hits,Wii,2010.0,Misc,Disney Interactive Studios,0.29,0.1,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Disney Interactive Studios,E
3180,Dragon Quest Monsters Joker 3,3DS,2016.0,Role-Playing,Square Enix,0.0,0.0,0.06,0.0,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3181,Rock Band 3,Wii,2010.0,Misc,MTV Games,0.29,0.06,0.0,0.04,0.57,73.0,22.0,7.116133442712647,36.0,Backbone Entertainment,T
3182,Dragon Age II,PC,2011.0,Action,Electronic Arts,0.23,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,BioWare,M
3183,Tony Hawk's Pro Skater 2x,XB,2001.0,Sports,Activision,0.29,0.14,0.0,0.03,0.57,73.0,24.0,7.7,29.0,Treyarch,T
3184,NBA Live 08,PS3,2007.0,Sports,Electronic Arts,0.29,0.02,0.01,0.04,0.57,73.0,26.168198060234815,7.116133442712647,29.0,EA Canada,E
3185,Sim Theme Park,PS,1999.0,Strategy,Electronic Arts,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3186,FIFA Soccer 2003,XB,2002.0,Sports,Electronic Arts,0.2,0.14,0.0,0.04,0.57,73.0,22.0,7.7,29.0,EA Canada,E
3187,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012.0,Misc,Namco Bandai Games,0.0,0.0,0.06,0.0,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3188,The Lord of the Rings: Conquest,X360,2009.0,Action,Electronic Arts,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,110.0,Pandemic Studios,T
3189,Far Cry 4,PC,2014.0,Shooter,Ubisoft,0.15,0.14,0.0,0.04,0.57,73.0,22.0,7.116133442712647,156.67227235438884,Ubisoft Montreal,M
3191,NASCAR 06: Total Team Control,PS2,2005.0,Racing,Electronic Arts,0.29,0.02,0.0,0.04,0.57,73.0,22.0,7.7,29.0,EA Sports,E
3192,Dogz,GBA,2004.0,Simulation,Ubisoft,0.29,0.14,0.0,0.01,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3193,A Bug's Life,N64,1998.0,Platform,Activision,0.29,0.13,0.0,0.01,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3194,Super Castlevania IV,SNES,1991.0,Platform,Konami Digital Entertainment,0.29,0.05,0.06,0.01,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3195,Iron Man,PSP,2008.0,Action,Sega,0.29,0.09,0.0,0.04,0.57,68.81214905564063,22.0,7.116133442712647,29.0,Artificial Mind and Movement,T
3196,White Knight Chronicles II,PS3,2010.0,Role-Playing,Sony Computer Entertainment,0.23,0.09,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,64.0,Level 5,T
3197,Mobile Suit Z Gundam: AEUG vs. Titans,PS2,2003.0,Fighting,Namco Bandai Games,0.0,0.0,0.06,0.0,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3198,Juiced 2: Hot Import Nights,X360,2007.0,Racing,THQ,0.22,0.14,0.0,0.04,0.57,68.81214905564063,24.0,7.6,29.0,Juice Games,T
3199,Wolfenstein,PS3,2009.0,Shooter,Activision,0.25,0.14,0.0,0.04,0.57,71.0,26.168198060234815,7.4,77.0,"id Software, Raven Software",M
3200,The Walking Dead: Survival Instinct,X360,2013.0,Shooter,Activision,0.29,0.11,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Terminal Reality,M
3201,The Sims 3: Generations,PC,2011.0,Simulation,Electronic Arts,0.29,0.14,0.0,0.0,0.57,70.0,22.0,7.116133442712647,81.0,The Sims Studio,T
3202,Ape Escape 2,PS2,2002.0,Platform,Sony Computer Entertainment,0.12,0.09,0.06,0.03,0.57,73.0,26.168198060234815,7.7,32.0,SCE Japan Studio,E
3203,Rocksmith 2014,PS4,2014.0,Misc,Ubisoft,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3204,X-Man,2600,1982.0,Action,Universal Gamex,0.29,0.04,0.0,0.01,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3205,Sega Rally Revo,PS3,2007.0,Racing,Sega,0.07,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.116133442712647,29.0,SEGA Racing Studio,E
3206,Shin Megami Tensei: Persona 3 FES,PS2,2007.0,Role-Playing,Tecmo Koei,0.22,0.14,0.06,0.04,0.57,73.0,25.0,7.7,156.67227235438884,Atlus Co.,M
3207,FIFA Soccer 2002,PS2,2001.0,Sports,Electronic Arts,0.29,0.14,0.0,0.04,0.57,73.0,22.0,7.116133442712647,29.0,EA Sports,E
3208,Angry Birds Trilogy,3DS,2012.0,Action,Activision,0.29,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.116133442712647,29.0,Exient Entertainment,E
3209,Final Fantasy VII International,PS,1997.0,Role-Playing,Square,0.0,0.0,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3210,Condemned 2: Bloodshot,X360,2008.0,Action,Sega,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Monolith Productions,M
3211,Okami,PS2,2006.0,Action,Capcom,0.11,0.03,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Clover Studio,T
3212,Shin Megami Tensei: Persona 3 Portable,PSP,2009.0,Role-Playing,Ghostlight,0.18,0.06,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Atlus,M
3213,Crash of the Titans,PSP,2007.0,Action,Vivendi Games,0.25,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,29.0,SuperVillain Studios,E10+
3214,NHL 2001,PS,2000.0,Sports,Electronic Arts,0.29,0.14,0.0,0.04,0.57,73.0,22.0,7.7,29.0,Page 44 Studios,E
3215,Crysis 3,PC,2013.0,Shooter,Electronic Arts,0.17,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Crytek,M
3216,Buzz Lightyear of Star Command,PS,2000.0,Platform,Activision,0.29,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.116133442712647,29.0,Traveller's Tales,E
3217,NHL 16,PS4,2015.0,Sports,Electronic Arts,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,"EA Sports, EA Canada",E10+
3218,Namco Museum,GC,2002.0,Misc,Namco Bandai Games,0.29,0.13,0.0,0.02,0.57,68.81214905564063,22.0,7.116133442712647,156.67227235438884,Mass Media,E
3219,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",X360,2009.0,Shooter,Activision,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3220,Cabela's Big Game Hunter (2008),Wii,2007.0,Sports,Activision,0.29,0.0,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,MagicWand,T
3221,Tony Hawk's Project 8,PS3,2006.0,Sports,Activision,0.29,0.14,0.01,0.04,0.57,73.0,26.168198060234815,7.2,29.0,Neversoft Entertainment,T
3222,Ghostbusters: The Video Game,X360,2009.0,Action,Atari,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.7,125.0,Terminal Reality,T
3223,XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Firaxis Games,M
3224,Nobunaga no Yabou: Haouden,SNES,1993.0,Strategy,Tecmo Koei,0.29,0.0,0.06,0.0,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3225,Virtua Cop,SAT,1995.0,Shooter,Sega,0.0,0.0,0.06,0.0,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3227,Tony Hawk's American Wasteland,XB,2005.0,Sports,Activision,0.29,0.14,0.0,0.03,0.57,73.0,26.168198060234815,7.7,29.0,Neversoft Entertainment,T
3228,WWF in Your House,PS,1996.0,Fighting,Acclaim Entertainment,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3229,Wild ARMs 3,PS2,2002.0,Role-Playing,Ubisoft,0.16,0.13,0.06,0.04,0.57,73.0,26.168198060234815,7.7,38.0,"Media Vision, Contrail",T
3230,NBA ShootOut '97,PS,1997.0,Sports,Sony Computer Entertainment,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3231,Family Feud: 2010 Edition,Wii,2009.0,Misc,Ubisoft,0.29,0.0,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ludia Inc.,E
3232,Madden NFL 07,GC,2006.0,Sports,Electronic Arts,0.29,0.13,0.0,0.02,0.57,73.0,22.0,7.7,29.0,EA Tiburon,E
3233,LEGO Jurassic World,3DS,2015.0,Action,Warner Bros. Interactive Entertainment,0.29,0.14,0.03,0.04,0.57,68.81214905564063,26.168198060234815,7.2,29.0,TT Games,E10+
3234,Battlezone,2600,1982.0,Shooter,Atari,0.29,0.03,0.0,0.01,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
3235,Tiger Woods PGA Tour 2004,XB,2003.0,Sports,Electronic Arts,0.29,0.13,0.0,0.02,0.57,73.0,22.0,7.7,29.0,EA Sports,E
3237,Tak 2: The Staff of Dreams,PS2,2004.0,Platform,THQ,0.29,0.14,0.0,0.04,0.57,71.0,26.168198060234815,7.7,29.0,Avalanche Software,E
3238,Just Dance 3,PS3,2011.0,Misc,Ubisoft,0.29,0.14,0.0,0.04,0.57,73.0,22.0,7.116133442712647,29.0,Ubisoft,E10+
